INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS "A COMPLETE FRAUD!"  @OANN	13996
mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!	12495
Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......	15768
A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.	19378
The "Unaffordable" Care Act will soon be history!	27514
have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!	12564
What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....	11829
released by "Intelligence" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!	11172
Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...	11679
It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....	16458
All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!	15828
Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!	18907
.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!	34534
Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine	20997
James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!	16996
We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on	28425
Intelligence agencies should never have allowed this fake news to "leak" into the public. One last shot at me.Are we living in Nazi Germany?	31576
I win an election easily, a great "movement" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!	28552
Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!	23271
Russia just said the unverified report paid for by political opponents is "A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE." Very unfair!	17645
'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews 
https://t.co/d6daCFZHNh	15193
RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D	10984
FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!	29950
'Trump Helps Lift Small Business Confidence to 12-Yr. High'
https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx	10237
'Small business optimism soars after Trump election' https://t.co/WjBaTp824U	11697
'U.S. Small-Business Optimism Index Surges by Most Since 1980'
https://t.co/X22x1BttdG	11155
An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf	24533
Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!	23691
It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants, adding 2000 jobs. This after...	23649
"groveling" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!	16394
